BATT_CONNECT1:1
BATT_CONNECT2:1
BOOT_R1:1
BOOT_R2:1
C1:1
C2:1
CAM_SIOC_R1:1
CAM_SIOD_R1:1
D1:1
D2:1
ENTIMING1:1
EN_P1:1
EN_R1:1
IC1:1
J1:1
J3:1
J4:1
LASERHEADER1:1
MODULEFAST1:1
MODULEOUTPUT1:1
PANSERVO1:1
REF**:4
REGULATOR1:1
REGULATORINPUT1:1
REGULATOROUTPUT1:1
R_PROG1:1
SERVO/LASERBULK1:1
TILTSERVO1:1
U1:1
U3:1
